date,open,high,low,close,pc_ratio_oi,major_oi
2003-01-02,4408,4480,4385,4452,71.08,
2003-01-03,4530,4590,4528,4571,73.79,
2003-01-06,4590,4645,4560,4635,79.3,
2003-01-07,4690,4703,4636,4641,84.93,
2003-01-08,4646,4820,4641,4771,94.75,
2003-01-09,4756,4809,4755,4785,103.53,
2003-01-10,4859,4859,4792,4828,113.81,
2003-01-13,4840,5050,4840,5025,134.61,
2003-01-14,5039,5068,4990,5009,149.32,
2003-01-15,5150,5150,4965,5044,117.51,
2003-01-16,4998,5025,4935,4940,118.07,
2003-01-17,4930,4959,4902,4925,119.0,
2003-01-20,4895,4983,4885,4968,112.68,
2003-01-21,4959,5030,4931,4939,119.45,
2003-01-22,4920,5005,4910,5002,128.4,
2003-01-23,5000,5094,4992,5085,133.41,
2003-01-24,5100,5109,5051,5063,129.88,
2003-01-27,5036,5040,4940,4956,113.21,
2003-01-28,4927,5025,4927,5022,108.41,
2003-02-06,5008,5009,4761,4775,91.77,
2003-02-07,4760,4819,4630,4699,75.81,
2003-02-10,4676,4702,4620,4640,68.02,
2003-02-11,4650,4690,4622,4635,65.71,
2003-02-12,4626,4669,4559,4637,64.37,
2003-02-13,4602,4630,4482,4485,59.75,
2003-02-14,4485,4555,4471,4489,57.06,
2003-02-17,4579,4695,4565,4690,56.9,
2003-02-18,4680,4680,4607,4636,57.89,
2003-02-19,4673,4675,4529,4545,69.48,
2003-02-20,4530,4575,4505,4560,70.64,
2003-02-21,4575,4580,4512,4540,72.07,
2003-02-24,4575,4620,4516,4601,68.53,
2003-02-25,4550,4550,4432,4450,66.37,
2003-02-26,4470,4490,4442,4451,64.99,
2003-02-27,4427,4468,4361,4408,62.01,
2003-03-03,4450,4520,4435,4515,64.64,
2003-03-04,4472,4482,4437,4469,63.59,
2003-03-05,4382,4435,4372,4389,61.62,
2003-03-06,4419,4425,4384,4397,60.61,
2003-03-07,4350,4380,4323,4355,57.08,
2003-03-10,4374,4388,4312,4335,54.17,
2003-03-11,4270,4308,4232,4250,50.33,
2003-03-12,4240,4305,4240,4305,49.71,
2003-03-13,4293,4378,4265,4353,52.99,
2003-03-14,4498,4540,4475,4479,58.07,
2003-03-17,4448,4448,4313,4318,58.05,
2003-03-18,4490,4618,4450,4538,66.47,
2003-03-19,4559,4559,4483,4520,70.68,
2003-03-20,4550,4610,4457,4588,70.38,
2003-03-21,4582,4582,4542,4580,71.82,
2003-03-24,4648,4652,4540,4541,73.64,
2003-03-25,4456,4495,4452,4475,67.89,
2003-03-26,4502,4515,4461,4470,69.88,
2003-03-27,4451,4501,4445,4496,68.99,
2003-03-28,4496,4497,4445,4453,68.52,
2003-03-31,4420,4420,4265,4286,62.01,
2003-04-01,4266,4305,4260,4301,61.42,
2003-04-02,4299,4330,4251,4295,63.23,
2003-04-03,4380,4387,4320,4338,63.75,
2003-04-04,4310,4480,4295,4469,77.29,
2003-04-07,4469,4580,4460,4572,87.05,
2003-04-08,4508,4600,4484,4547,91.89,
2003-04-09,4530,4530,4492,4505,90.82,
2003-04-10,4490,4580,4481,4511,94.73,
2003-04-11,4530,4550,4491,4516,92.65,
2003-04-14,4520,4549,4428,4449,91.53,
2003-04-15,4484,4487,4445,4475,89.15,
2003-04-16,4511,4644,4511,4625,81.05,
2003-04-17,4556,4579,4542,4557,87.28,
2003-04-18,4628,4675,4610,4660,89.84,
2003-04-21,4650,4660,4612,4657,91.7,
2003-04-22,4638,4638,4560,4571,88.39,
2003-04-23,4614,4619,4551,4570,84.16,
2003-04-24,4590,4590,4313,4356,75.88,
2003-04-25,4330,4348,4211,4211,63.83,
2003-04-28,4150,4178,4056,4125,55.1,
2003-04-29,4180,4205,4111,4195,58.4,
2003-04-30,4208,4258,4106,4135,57.59,
2003-05-02,4105,4214,4101,4189,56.54,
2003-05-05,4225,4228,4135,4190,57.6,
2003-05-06,4200,4239,4180,4185,60.27,
2003-05-07,4198,4250,4187,4245,64.4,
2003-05-08,4230,4240,4157,4165,64.85,
2003-05-09,4149,4260,4148,4224,66.65,
2003-05-12,4224,4285,4205,4245,70.79,
2003-05-13,4295,4341,4288,4316,75.18,
2003-05-14,4316,4338,4291,4338,76.22,
2003-05-15,4316,4325,4275,4324,76.69,
